# constant,binary01,binaryAB,categorical,count,continuous
helloworld,0,A,Y,19,0.1710247868454835
helloworld,1,A,X,12,0.7722890304645628
helloworld,1,A,X,14,0.2807839894371791
helloworld,0,A,Y,9,0.6441260685334189
helloworld,1,A,Z,12,0.3993264039357073
helloworld,1,A,X,6,0.408122285125988
helloworld,1,A,Y,17,0.27232689594948156
helloworld,0,A,Z,16,0.13979437866357525
helloworld,1,A,X,18,0.17524533679821652
helloworld,1,A,X,5,0.2138600118047368
helloworld,1,A,Z,16,0.4464321381330447
helloworld,1,A,Y,14,0.04188213119264106
helloworld,0,A,Z,5,0.4374544771991329
helloworld,1,A,Y,8,0.07724566779404007
helloworld,1,A,X,19,0.1815183620942864
helloworld,1,A,Z,18,0.3604775773286748
helloworld,1,A,X,10,0.30080488518206616
helloworld,0,A,X,10,0.8877134516518903
helloworld,1,A,Z,17,0.4854831633891412
helloworld,0,A,Z,7,0.16586038101694478
helloworld,0,A,X,7,0.2979767299146052
helloworld,0,A,Z,10,0.8808572101377997
helloworld,0,A,Y,5,0.011490544564329852
helloworld,0,A,X,18,0.7933081858957914
helloworld,1,A,Y,14,0.8755119419962559
helloworld,0,A,X,7,0.37315433695833444
helloworld,1,A,X,15,0.23082065927226314
helloworld,1,A,X,10,0.7558885055308303
helloworld,1,A,Y,17,0.5984640024248187
helloworld,1,A,Z,7,0.09804118896923675
helloworld,0,A,Z,8,0.04842050092866368
helloworld,0,A,Y,12,0.3154884709349909
helloworld,1,A,Y,9,0.9366737661749364
helloworld,1,A,X,10,0.9278981092633293
helloworld,0,A,Y,18,0.8574406821321028
helloworld,0,A,Z,15,0.167654419545187
helloworld,1,A,X,17,0.7098494368515664
helloworld,0,A,X,7,0.7480868972277473
helloworld,0,A,Y,8,0.9443823500615772
helloworld,1,A,Y,17,0.5474086219567005
helloworld,1,A,Z,17,0.30665060845718917
helloworld,0,A,X,10,0.872372627299035
helloworld,0,A,X,12,0.21539402498972626
helloworld,1,A,Z,14,0.20897380502012475
helloworld,0,A,Z,11,0.39039672569865236
helloworld,1,A,Y,13,0.3015552847787748
helloworld,0,A,Y,17,0.47022118042872896
helloworld,0,A,X,17,0.16497785864727132
helloworld,1,A,X,10,0.019438893925325607
helloworld,0,A,X,6,0.125287254552926
helloworld,1,A,Z,12,0.18596719753568447
helloworld,0,A,Y,8,0.03591262586513877
helloworld,1,A,Y,15,0.8855985313517173
helloworld,0,A,Z,8,0.9467485655836145
helloworld,1,A,Z,18,0.43255348996275744
helloworld,1,A,Y,5,0.30929274503780535
helloworld,1,A,Y,17,0.3308935270786928
helloworld,0,A,X,17,0.7349763190558054
helloworld,0,A,X,8,0.04505362756183995
helloworld,1,A,X,12,0.06078095887165291
helloworld,1,A,X,8,0.09144496639186528
helloworld,1,A,X,14,0.1250806190956465
helloworld,0,A,Z,7,0.34801505214764106
helloworld,0,A,Z,10,0.340419955583377
helloworld,0,A,Z,8,0.4660770552922411
helloworld,0,A,Z,16,0.6149772060521514
helloworld,0,A,X,11,0.20763745266528844
helloworld,0,A,X,17,0.5328574122841292
helloworld,0,A,Z,13,0.9521602516906472
helloworld,1,A,X,10,0.30980440438561907
helloworld,1,A,Z,18,0.20846097556572218
helloworld,0,A,Z,11,0.16155479680449447
helloworld,0,A,Y,8,0.5895959322970259
helloworld,1,A,X,7,0.21689525568546297
helloworld,1,A,X,9,0.8437956270790673
helloworld,1,A,Y,13,0.8258255956561369
helloworld,1,A,X,16,0.09717517312937574
helloworld,1,A,Z,16,0.44776439701171034
helloworld,1,A,X,7,0.9582161403299083
helloworld,0,A,Y,6,0.9530904951856362
helloworld,0,A,X,11,0.298026126382437
helloworld,1,A,Z,11,0.25711158178813254
helloworld,1,A,Y,10,0.754892092083848
helloworld,0,A,Z,6,0.7257690625606817
helloworld,0,A,Y,8,0.6271171882517969
helloworld,1,A,Y,10,0.7085716964969933
helloworld,0,A,Z,6,0.8336523477730069
helloworld,1,A,X,7,0.5233168107094877
helloworld,1,A,Y,11,0.9732968544740367
helloworld,1,A,Z,7,0.7017285213119978
helloworld,0,A,Y,13,0.6064130371286248
helloworld,0,A,X,7,0.8436926727531573
helloworld,1,A,Z,10,0.15791450734053436
helloworld,1,A,X,12,0.13352134874962474
helloworld,1,A,X,15,0.16734410314833326
helloworld,0,A,X,15,0.5892586263612911
helloworld,1,A,Y,6,0.729437133386994
helloworld,0,A,Y,15,0.48897627838480295
helloworld,0,A,X,13,0.9408437515554002
helloworld,1,A,Y,8,0.08350194520023979
helloworld,1,A,X,6,0.9754558479050599
helloworld,0,A,X,8,0.2785514482404192
helloworld,1,A,X,8,0.2893831335161382
helloworld,1,A,X,8,0.5711353391149953
helloworld,0,A,Z,18,0.9545484383833266
helloworld,1,A,Y,13,0.5224755133710081
helloworld,0,A,X,9,0.2736199474173231
helloworld,0,A,Z,7,0.07016270194842877
helloworld,0,A,Z,13,0.82111141435089
helloworld,1,A,Y,19,0.4271798072679882
helloworld,1,A,Z,15,0.494748162434102
helloworld,0,A,Z,8,0.9673140743443778
helloworld,0,A,Z,18,0.012224702205810067
helloworld,1,A,X,19,0.05282585663288597
helloworld,1,A,Y,8,0.12080779258578367
helloworld,0,A,X,15,0.6854674185682789
helloworld,0,A,Z,5,0.6634212109900299
helloworld,1,A,X,16,0.9681845471482378
helloworld,1,A,Y,5,0.7432408039102582
helloworld,0,A,Z,8,0.04231783619313445
helloworld,0,A,Y,16,0.36097502033761486
helloworld,0,A,X,8,0.8033652828873781
helloworld,0,A,Z,7,0.48908394823487633
helloworld,1,A,Y,19,0.4025471292321805
helloworld,0,A,X,17,0.9481912400802863
helloworld,1,A,Z,16,0.6549039524024798
helloworld,0,A,Y,10,0.45521482854828066
helloworld,0,A,Z,11,0.9926831560845466
helloworld,0,A,X,16,0.5373671689101577
helloworld,0,A,X,16,0.8339688698669051
helloworld,0,A,Y,15,0.8287414382169822
helloworld,1,A,Y,7,0.6332316926120444
helloworld,1,A,Y,16,0.9689128299982752
helloworld,0,A,X,7,0.43954756937381034
helloworld,1,A,X,7,0.14903731766444006
helloworld,1,A,Y,15,0.8609928048651724
helloworld,0,A,Z,16,0.47843634477389874
helloworld,1,A,X,9,0.9191822568296396
helloworld,1,A,Y,11,0.40180802957404504
helloworld,1,A,X,18,0.37454622268522464
helloworld,0,A,Y,8,0.15243155594803948
helloworld,1,A,X,8,0.050988950818368406
helloworld,1,A,Y,15,0.41668458687357346
helloworld,1,A,Z,19,0.7467873665512663
helloworld,1,A,Y,16,0.14236197856447408
helloworld,0,A,Y,19,0.8026639418461317
helloworld,1,A,Z,9,0.24124162856264397
helloworld,0,A,X,5,0.8759122934679864
helloworld,1,A,Z,6,0.18245752241770086
helloworld,1,A,Z,5,0.9837248062903858
helloworld,1,A,X,11,0.9234410310518311
helloworld,1,A,Z,9,0.1450940122569574
helloworld,0,A,X,14,0.115397800438103
helloworld,1,A,X,5,0.2065618519645036
helloworld,1,A,Z,6,0.12497607326383664
helloworld,0,A,Z,12,0.2922852055390589
helloworld,0,A,Y,7,0.5974146149005979
helloworld,1,A,X,8,0.7513903135633262
helloworld,0,A,Z,15,0.10417873573284375
helloworld,0,A,Y,18,0.8966164317216744
helloworld,1,A,Z,6,0.32380375646773607
helloworld,0,A,Y,9,0.6457235880431191
helloworld,1,A,X,7,0.6938860379928102
helloworld,0,A,Z,9,0.7255177044176266
helloworld,0,A,X,7,0.379366674142525
helloworld,1,A,X,9,0.4694348070892447
helloworld,0,A,Z,13,0.5545029562306849
helloworld,0,A,X,7,0.8103829876299163
helloworld,0,A,Z,13,0.7208006798947963
helloworld,1,A,X,8,0.30313865041021004
helloworld,0,A,X,10,0.8621785846893597
helloworld,0,A,Z,5,0.42913948488258813
helloworld,1,A,Z,13,0.784528347928023
helloworld,0,A,X,8,0.8875136411974885
helloworld,1,A,Y,14,0.4887085464828883
helloworld,0,A,Y,8,0.18192360969956634
helloworld,1,A,Y,10,0.9143735061146319
helloworld,1,A,X,9,0.8250308718488693
helloworld,1,A,Z,14,0.9674648606605148
helloworld,1,A,X,8,0.868022688245607
helloworld,0,A,Y,5,0.9013746826082063
helloworld,0,A,Y,11,0.2079171783681375
helloworld,0,A,Z,6,0.6223431245433275
helloworld,0,A,Y,17,0.4595228557650358
helloworld,0,A,Y,5,0.4237083982023916
helloworld,1,A,X,12,0.15431323399501484
helloworld,1,A,Y,15,0.9163976356656358
helloworld,1,A,Y,7,0.24209393738623564
helloworld,0,A,Z,8,0.7112537418039048
helloworld,1,A,Z,14,0.9110196935950038
helloworld,1,A,X,13,0.29606914098429016
helloworld,0,A,Z,5,0.04994305518304909
helloworld,1,A,Y,10,0.7953334884406845
helloworld,0,A,Z,5,0.8021799567613705
helloworld,1,A,Y,9,0.7399025167541846
helloworld,1,A,X,17,0.5640238606136911
helloworld,1,A,Z,5,0.5240846621832229
helloworld,1,A,Y,14,0.5588014818679843
helloworld,1,A,Y,19,0.7605897201977547
helloworld,0,A,X,11,0.33642539226987467
helloworld,0,A,X,17,0.8414410677990697
helloworld,0,A,X,16,0.8462252150500292
helloworld,0,A,X,8,0.12212265742161721
helloworld,0,A,Z,18,0.19550955759757627
helloworld,0,A,Z,9,0.05618364569133605
helloworld,1,A,Z,6,0.6664742196348755
helloworld,1,A,X,15,0.31270911343841234
helloworld,1,A,Z,11,0.39606988374035224
helloworld,1,A,Y,6,0.7356097173029242
helloworld,0,A,Z,7,0.7662034269454233
helloworld,1,A,Y,13,0.49920246584380146
helloworld,1,A,Z,5,0.31966612454010634
helloworld,0,A,X,6,0.06457069345279642
helloworld,0,A,Y,8,0.45581133387809325
helloworld,0,A,X,15,0.7656958607165587
helloworld,0,A,Z,18,0.4302501743773941
helloworld,0,A,Y,6,0.5829119073491953
helloworld,1,A,Z,6,0.20835408970357616
helloworld,1,A,X,13,0.5481312010811918
helloworld,1,A,Z,13,0.6236506819727372
helloworld,1,A,X,10,0.35675311412866817
helloworld,1,A,X,14,0.8437921647265282
helloworld,0,A,Z,6,0.5857308100012688
helloworld,1,A,X,13,0.6137166118017305
helloworld,1,A,X,14,0.6191289859709675
helloworld,0,A,X,15,0.7713222296192156
helloworld,1,A,Z,12,0.682411361267346
helloworld,1,A,Y,7,0.33212624619607245
helloworld,1,A,X,8,0.3123283859379704
helloworld,0,A,Z,6,0.5426208847329008
helloworld,0,A,X,5,0.7274899160710282
helloworld,0,A,X,15,0.49267994801765047
helloworld,0,A,Z,19,0.5104373773179625
helloworld,1,A,X,12,0.5543692538981946
helloworld,0,A,X,8,0.6497366420142946
helloworld,1,A,Z,12,0.611855424879119
helloworld,1,A,Y,9,0.5354937896866441
helloworld,1,A,X,6,0.061790306944318085
helloworld,0,A,Y,12,0.768176194300611
helloworld,1,A,Y,13,0.617974167905837
helloworld,1,A,X,8,0.7206485930395439
helloworld,1,A,Z,9,0.5453323366231789
helloworld,1,A,X,6,0.44413742887799446
helloworld,0,A,Y,12,0.05051347026241937
helloworld,1,A,X,10,0.294224970599952
helloworld,0,A,Z,7,0.7765036620857606
helloworld,1,A,Y,8,0.5237884669122516
helloworld,0,A,Y,7,0.3140825377190921
helloworld,1,A,Z,16,0.8757230823362911
helloworld,0,A,Z,9,0.8070504548047458
helloworld,0,A,X,15,0.8810440500243064
helloworld,0,A,Z,8,0.13494396877295256
helloworld,1,A,X,13,0.15840482617111484
helloworld,1,A,Y,8,0.7793271819424965
helloworld,0,A,Y,16,0.8948737222830184
helloworld,0,A,X,10,0.5810146357801959
helloworld,1,A,Y,9,0.1967027688966413
helloworld,0,A,Y,5,0.9466479098177857
helloworld,0,A,X,18,0.015285053290915118
helloworld,1,A,Z,13,0.5059037145193102
helloworld,0,A,Z,5,0.050306431725014145
helloworld,0,A,Z,12,0.484637084538584
helloworld,1,A,X,11,0.8399887966769396
helloworld,1,A,Y,12,0.022326059258088837
helloworld,1,A,X,15,0.04797793209483592
helloworld,1,A,X,14,0.987092455038973
helloworld,0,A,Y,17,0.38521795060755737
helloworld,1,A,Y,9,0.2955699441637748
helloworld,0,A,Y,12,0.2824648782410554
helloworld,1,A,Y,16,0.7052499632619066
helloworld,0,A,Z,18,0.9394812788206734
helloworld,1,A,Y,9,0.36405983764284344
helloworld,0,A,Y,16,0.053836776764064176
helloworld,0,A,Z,17,0.844412203470593
helloworld,0,A,X,16,0.23408421379789346
helloworld,1,A,X,18,0.5455800721091164
helloworld,1,A,Y,13,0.3815317411143977
helloworld,1,A,X,18,0.48315930571870025
helloworld,1,A,X,17,0.2446913665674434
helloworld,1,A,Y,18,0.24997246973845544
helloworld,0,A,Y,6,0.7542869099367021
helloworld,0,A,Y,19,0.966395720966612
helloworld,1,A,Z,8,0.4901451761112465
helloworld,1,A,Z,15,0.7779834863838987
helloworld,1,A,X,9,0.3671789713635959
helloworld,1,A,Z,18,0.2222333155976125
helloworld,0,A,X,5,0.6062576810624059
helloworld,0,A,Y,7,0.2708526144791463
helloworld,0,A,Z,19,0.5203602455782965
helloworld,1,A,X,17,0.32401465977987665
helloworld,0,A,Y,5,0.5690493791532413
helloworld,0,A,Y,6,0.5427243101035569
helloworld,0,A,Y,14,0.058975947978912036
helloworld,1,A,Y,18,0.43309202836491134
helloworld,0,A,Z,9,0.8954213026177513
helloworld,1,A,Z,7,0.9052756857167781
helloworld,0,A,Z,8,0.44206273190665524
helloworld,1,A,Z,9,0.7876160364838107
helloworld,1,A,Z,12,0.8197497012666897
helloworld,1,A,X,11,0.8306690166686684
helloworld,1,A,Y,8,0.9293955106284769
helloworld,1,A,Z,10,0.3137830841390544
helloworld,0,A,X,7,0.8755638994541078
helloworld,1,A,Y,16,0.7561565247422389
helloworld,0,A,Z,9,0.02601993190788543
helloworld,0,A,Z,11,0.9166609940059641
helloworld,1,A,Y,14,0.9022022720961935
helloworld,1,A,Z,10,0.4035368019322658
helloworld,0,A,Z,8,0.4004841333368908
helloworld,0,A,X,5,0.9043746701312747
helloworld,0,A,X,9,0.23323054345166983
helloworld,0,A,Z,18,0.7834329887280779
helloworld,0,A,Z,19,0.315188155366
helloworld,1,A,X,14,0.4007853900499191
helloworld,0,A,Y,13,0.367555053308921
helloworld,0,A,Z,12,0.09781074261961364
helloworld,0,A,X,19,0.26869817139914176
helloworld,0,A,X,18,0.2527231058842826
helloworld,1,A,Z,10,0.20734815118239358
helloworld,1,A,Z,8,0.874624206181842
helloworld,1,A,X,6,0.6214110684526162
helloworld,1,A,Y,15,0.4113403491000328
helloworld,1,A,Y,8,0.19841754763408326
helloworld,0,A,Z,10,0.5374390867981913
helloworld,1,A,X,6,0.3187631343837426
helloworld,0,A,Y,19,0.2782079160116555
helloworld,1,A,Z,18,0.6553912442494234
helloworld,0,A,Z,15,0.06176740375929657
helloworld,0,A,Z,11,0.8381061360539198
helloworld,1,A,Y,7,0.1607334118687106
helloworld,0,A,Y,6,0.19298589690813184
helloworld,0,A,X,13,0.4127054655116792
helloworld,0,A,Y,16,0.07003889900351401
helloworld,1,A,Y,14,0.3428117965536328
helloworld,1,A,Y,18,0.6306790222974772
helloworld,0,A,X,13,0.8980632496431632
helloworld,1,A,Z,8,0.031720990905038216
helloworld,0,A,Y,12,0.9985893767446569
helloworld,1,A,X,5,0.37105862296361036
helloworld,0,A,X,7,0.5034714432155554
helloworld,1,A,Y,16,0.8538829989517508
helloworld,1,A,Y,18,0.06270770943506332
helloworld,0,A,Z,12,0.8315180622649911
helloworld,1,A,Z,12,0.9528164769828106
helloworld,0,A,Z,6,0.3927864243895475
helloworld,1,A,X,7,0.33862798486994883
helloworld,0,A,Y,5,0.4450030331259578
helloworld,1,A,Y,14,0.5495904182082029
helloworld,0,A,X,16,0.8753705425086639
helloworld,1,A,Z,9,0.9061959036567324
helloworld,1,A,Z,7,0.494428646984752
helloworld,0,A,Y,17,0.28720589381255124
helloworld,0,A,Y,11,0.32593773657126446
helloworld,0,A,Y,10,0.619244835182151
helloworld,1,A,Y,5,0.0530256846259517
helloworld,1,A,Y,9,0.45045076286539654
helloworld,1,A,Z,10,0.8774669377823365
helloworld,0,A,X,13,0.11069896230574894
helloworld,1,A,Y,18,0.20279398930249604
helloworld,0,A,Z,15,0.35083699590707806
helloworld,0,A,Z,15,0.5222590304772017
helloworld,1,A,Z,13,0.8011182580971262
helloworld,1,A,Y,13,0.5987434760178998
helloworld,0,A,Z,16,0.06802147223528254
helloworld,0,A,X,17,0.872912828274262
helloworld,1,A,X,13,0.45211090464227444
helloworld,1,A,Z,19,0.4641136086973956
helloworld,0,A,Y,14,0.15339976955413137
helloworld,0,A,Y,13,0.4073371853724468
helloworld,0,A,Z,6,0.35402134749432224
helloworld,0,A,Y,9,0.13342755055477962
helloworld,1,A,X,16,0.9486807098696959
helloworld,1,A,X,16,0.92025026361674
helloworld,0,A,X,16,0.031691842615540256
helloworld,1,A,Y,7,0.9963686084770472
helloworld,1,A,X,16,0.4033290912475683
helloworld,1,A,X,15,0.236531133758216
helloworld,0,A,Z,14,0.6253451126831154
helloworld,0,A,Y,11,0.6271382399760581
helloworld,0,A,Y,15,0.442412881535334
helloworld,1,A,Y,19,0.3547991739303671
helloworld,1,A,Y,5,0.6661694460023886
helloworld,0,A,Z,12,0.5809268766512049
helloworld,0,A,X,12,0.6097737870061876
helloworld,1,A,Z,18,0.8573776989561086
helloworld,0,A,Z,19,0.6104857501088888
helloworld,0,A,X,15,0.9898983905701314
helloworld,1,A,Y,10,0.152305868225999
helloworld,1,A,Y,13,0.05052794575505448
helloworld,0,A,Z,14,0.45401500355010305
helloworld,1,A,Y,8,0.595702751979705
helloworld,0,A,X,14,0.8736565385022372
helloworld,1,A,Y,10,0.15105014231560232
helloworld,1,A,X,17,0.7263618279022458
helloworld,0,A,Y,7,0.11012312991163498
helloworld,1,A,Y,16,0.4767752617404408
helloworld,0,A,Z,14,0.2409520150442901
helloworld,0,A,X,12,0.11455816602059454
helloworld,1,A,Y,17,0.8288542976675056
helloworld,0,A,Z,15,0.0018729955029179735
helloworld,1,A,Z,7,0.6013104732443826
helloworld,1,A,Z,19,0.8114840903456643
helloworld,1,A,Z,14,0.6441056573207881
helloworld,0,A,Y,15,0.534362944410434
helloworld,0,A,Z,5,0.11480522919677916
helloworld,1,A,Z,18,0.9493609919189148
helloworld,0,A,Y,17,0.6865761733829514
helloworld,1,A,Y,15,0.32714323301506865
helloworld,0,A,X,7,0.5055380362135389
helloworld,0,A,Z,11,0.551613256201478
helloworld,1,A,X,8,0.8321684961213741
helloworld,0,A,Z,18,0.2296875427518007
helloworld,0,A,X,12,0.6674861726750012
helloworld,0,A,Y,13,0.18178096078939987
helloworld,0,A,Z,14,0.11555405702962018
helloworld,1,A,Y,12,0.3903384311648397
helloworld,1,A,X,6,0.9979600738573091
helloworld,0,A,Z,19,0.8031867028871008
helloworld,0,A,X,9,0.7413231164886681
helloworld,0,A,X,11,0.012914210314978747
helloworld,0,A,Z,18,0.6925799668584732
helloworld,0,A,X,16,0.43344419739136664
helloworld,0,A,X,19,0.010608998405602699
helloworld,1,A,Z,18,0.9597738098631518
helloworld,0,A,Y,12,0.44122829738766844
helloworld,0,A,Z,15,0.2728988778362761
helloworld,0,A,Z,12,0.02083172170396197
helloworld,0,A,Y,11,0.9714294437644618
helloworld,1,A,X,18,0.09524732499262889
helloworld,0,A,X,10,0.2655753197010311
helloworld,0,A,Y,14,0.0505018866675363
helloworld,1,A,X,12,0.9402058476321632
helloworld,0,A,Z,17,0.05386665788254763
helloworld,0,A,Y,8,0.30000327474857813
helloworld,1,A,Y,17,0.3477135919497124
helloworld,1,A,Y,12,0.8609823435576285
helloworld,0,A,Z,9,0.9638033929900909
helloworld,0,A,Z,10,0.5383595873014524
helloworld,1,A,Z,5,0.35785952513703356
helloworld,0,A,Z,8,0.6955743329813742
helloworld,1,A,X,16,0.8779959953589797
helloworld,1,A,X,10,0.975470831334474
helloworld,0,A,Y,15,0.3140731297600402
helloworld,0,A,Y,13,0.5340413801222582
helloworld,0,A,Z,12,0.7782962914459373
helloworld,0,A,Y,17,0.6922202374277637
helloworld,1,A,Y,14,0.40082165445844364
helloworld,1,A,X,5,0.5466504913535096
helloworld,0,A,X,17,0.9570760203805432
helloworld,0,A,Z,19,0.645842751704534
helloworld,1,A,X,10,0.27930481704558674
helloworld,0,A,Y,7,0.1761551497315509
helloworld,0,A,Y,13,0.4594081027013134
helloworld,1,A,Y,17,0.2895052414763264
helloworld,0,A,Y,10,0.5908374078594023
helloworld,1,A,Y,8,0.9233993354716546
helloworld,1,A,X,10,0.2063950258850793
helloworld,1,A,Y,16,0.12094861923847089
helloworld,1,A,Y,7,0.8720196676215224
helloworld,0,A,Z,5,0.3619293440129314
helloworld,1,A,Z,17,0.7602988638395959
helloworld,1,A,Z,9,0.5371279423613043
helloworld,1,A,X,15,0.8306150730182036
helloworld,0,A,Z,12,0.10083053388628349
helloworld,0,A,Y,17,0.9375840986696703
helloworld,0,A,Y,6,0.3720083609404339
helloworld,0,A,X,12,0.9339615073000234
helloworld,0,A,Z,13,0.5948071455395361
helloworld,0,A,Y,14,0.13140567777243806
helloworld,1,A,Y,10,0.6188930459325436
helloworld,1,A,X,18,0.2854594368917853
helloworld,0,A,Z,19,0.18638062647771803
helloworld,0,A,Z,19,0.4847055844215701
helloworld,0,A,Y,5,0.9888424154262577
helloworld,0,A,Y,12,0.25253012813385123
helloworld,1,A,X,16,0.9812064466873798
helloworld,1,A,Y,12,0.05503254253085155
helloworld,1,A,X,17,0.3904092867102412
helloworld,1,A,X,6,0.8695065087136636
helloworld,1,A,X,7,0.22105769116738094
helloworld,0,A,Y,19,0.11209567357347572
helloworld,1,A,Y,16,0.2917995299179271
helloworld,0,A,X,19,0.9766234787930602
helloworld,0,A,Y,10,0.9852692784437005
helloworld,0,A,Y,6,0.4893695464608495
helloworld,1,A,Z,9,0.7547801648509092
helloworld,0,A,Z,10,0.9711081225828485
helloworld,1,A,Z,6,0.47918078460752545
helloworld,0,A,Y,6,0.1269376105821437
helloworld,0,A,X,13,0.7737898921832588
helloworld,1,A,Z,14,0.9293362163395265
